name,quantity,freeqty,batch_no,expiry_date,mrp,ptr,amount,gst,netvalue
FLAVEDON MR-SP,2,0,ME052508,2028-01-02,174.23,124.45,248.9,12%,267.62
DULCOFLEX TAB (9X10 SHEET )-SP,1,0,DLA25025,2028-01-03,118.89,89.1,89.1,12%,93.81
LASILACTONE 50MG TAB-SP,2,0,4P3766A,2027-01-11,71.3,50.93,101.86,12%,107.25
BECOSULES CAP-SP,1,0,2530005S,2026-01-06,60.49,45.36,45.36,12%,47.76
GLYCOMET GP 1 MG TAB-SP,1,0,60001947,2027-01-02,130.5,93.22,93.22,12%,98.15
GLYCOMET GP 1 MG TAB-SP,2,0,60001896,2027-01-02,130.5,93.22,186.44,12%,196.29
OSTEOFOS 70MG TAB-SP,1,0,5F10027,2028-01-31,343.92,245.66,245.66,12%,258.63
REJUNEX CD3 TAB-SP,1,0,K2500445,2027-01-01,266,190,190,12%,200.03
DUPHALAC SYP SMALL-SP,1,0,773178D7,2027-01-04,196.87,150,150,10%,155.1
NEXITO FORTE 20MG TAB-SP,2,0,GTG0774A,2027-01-02,269,192.14,384.28,12%,404.57
BETACAP TR 40MG CAP-SP,2,0,SIG0424A,2027-01-01,47.48,33.91,67.82,12%,71.4
MELOSET 3MG-SP,3,0,MPB250639,2027-01-15,64,45.71,137.13,12%,144.37
ULTRA KING TAB-SP,5,0,OUKT-035,2026-01-08,242,18.73,93.65,12%,104.89
FEBUTEC 40 TAB-SP,5,0,GD24034,2027-01-11,152.17,20.06,100.3,12%,105.6
OKAMET 500MG-SP,5,0,5O30095,2028-01-01,27.6,12.08,60.4,12%,67.64
PANTOSEC DSR CAP-SP,5,0,PSR241150,2026-01-10,151.73,42.35,211.75,12%,237.17
REXCOF LS SYRUP-SP,5,0,RLS25004,2027-01-01,115.13,32.65,163.25,12%,182.85
ORSL APPLE REHYDRATE-SP,5,1,SK50001,2026-01-03,45,32.14,160.7,12%,179.98
